job_id,skill
remotive_1919265,Go
remotive_1919266,Machine Learning
remotive_2069746,React
remotive_2069746,JavaScript
remotive_2069746,Docker
remotive_2069746,Kubernetes
remotive_2069746,PostgreSQL
remotive_1680495,Excel
remotive_2091045,Azure
remotive_2091101,Python
remotive_2091101,React
remotive_2091101,JavaScript
remotive_2091101,TypeScript
remotive_2091101,Node.js
remotive_2091101,AWS
remotive_2091101,Java
remotive_2091101,Machine Learning
remotive_2091100,Python
remotive_2091100,React
remotive_2091100,JavaScript
remotive_2091100,TypeScript
remotive_2091100,Node.js
remotive_2091100,Java
remotive_2091100,Machine Learning
remotive_2091099,Python
remotive_2091099,SQL
remotive_2091099,React
remotive_2091099,JavaScript
remotive_2091099,TypeScript
remotive_2091099,Node.js
remotive_2091099,AWS
remotive_2091099,Azure
remotive_2091099,GCP
remotive_2091099,Kubernetes
remotive_2091099,Java
remotive_2091099,Machine Learning
remotive_2091099,Linux
remotive_2091098,Python
remotive_2091098,React
remotive_2091098,JavaScript
remotive_2091098,TypeScript
remotive_2091098,Node.js
remotive_2091098,Kubernetes
remotive_2091098,Java
remotive_2091098,Go
remotive_2091098,Machine Learning
remotive_2091097,Python
remotive_2091097,SQL
remotive_2091097,React
remotive_2091097,JavaScript
remotive_2091097,TypeScript
remotive_2091097,Node.js
remotive_2091097,AWS
remotive_2091097,Azure
remotive_2091097,GCP
remotive_2091097,Java
remotive_2091097,Machine Learning
remotive_2091097,Data Engineer
remotive_2091097,Airflow
adzuna_5872823271,Go
adzuna_5872823289,Go
adzuna_5873627723,Go
adzuna_5872823265,Go
adzuna_5875643968,Go
adzuna_5871617442,Go
adzuna_5871082759,Go
adzuna_5871617449,Go
adzuna_5884383740,Java
adzuna_5871557387,Linux
adzuna_5861953133,Java
adzuna_5845284399,R
